mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,model
24.060161447525026,4.573576309582196,0.10092034339904785,0.004576258955187735,"[1, 1, 1]","{'weights': [1, 1, 1]}",0.9948680865636611,0.9950739967850059,0.9947389294130501,0.9944733467458405,0.9946331905922371,0.9947575100199589,0.00020442131488025256,7,ensemble model
23.769272089004517,4.571872260485848,0.09949274063110351,0.0029496575544868463,"[2, 1, 1]","{'weights': [2, 1, 1]}",0.9951954086997907,0.9958575996390994,0.9953653174502538,0.9950198128598459,0.9944372504289257,0.995175077815583,0.00046280383792920684,1,ensemble model
24.0999577999115,4.62615867803044,0.11009225845336915,0.012656862024686067,"[1, 2, 1]","{'weights': [1, 2, 1]}",0.9928447340877492,0.9935454375236645,0.9930454260454497,0.992181822368582,0.9926819127463725,0.9928598665543635,0.0004463362736495756,8,ensemble model
24.384915161132813,4.617483202102153,0.10027103424072266,0.003796258960105296,"[1, 1, 2]","{'weights': [1, 1, 2]}",0.9949918245252691,0.9951539187082042,0.9947827550193339,0.9949218822279783,0.9949786162830692,0.994965799352771,0.00011972002092210042,3,ensemble model
24.06312608718872,4.5668757619904605,0.10119237899780273,0.005091237821997974,"[3, 1, 1]","{'weights': [3, 1, 1]}",0.9950484828700755,0.9958730582178377,0.9953653174502538,0.9949914458323005,0.994393424822642,0.9951343458386219,0.00048493312480822663,2,ensemble model
23.38944821357727,4.444331381702506,0.09951958656311036,0.0017785064924419499,"[1, 3, 1]","{'weights': [1, 3, 1]}",0.8992416125507631,0.9036787875045214,0.9016948313670086,0.8990628237596282,0.900730825827918,0.9008817762019679,0.001703281640461376,9,ensemble model
23.247534608840944,4.22553854139836,0.0980489730834961,0.00206645223955786,"[1, 1, 3]","{'weights': [1, 1, 3]}",0.9948578039550696,0.9951822857357496,0.9947672964405955,0.9948909650705017,0.9949013233893779,0.9949199349182589,0.0001394075707948861,5,ensemble model
23.257435178756715,4.321568991318688,0.09440493583679199,0.005598122380805524,"[1, 0, 0]","{'weights': [1, 0, 0]}",0.9947984536276371,0.9957622191371627,0.995316391584108,0.9947774969603197,0.9941356503443776,0.994958042330721,0.0005494557830342691,4,ensemble model
22.078544712066652,3.863331477344905,0.08923444747924805,0.00539078912535614,"[0, 1, 0]","{'weights': [0, 1, 0]}",0.8992416125507631,0.9020942831838484,0.9016948313670086,0.8990164480234132,0.900730825827918,0.9005556001905901,0.0012483308826097982,10,ensemble model
19.281239604949953,3.5866469970803014,0.08299174308776855,0.017768097274458734,"[0, 0, 1]","{'weights': [0, 0, 1]}",0.9947032181676868,0.9952210110821712,0.9947183705744496,0.9947724756000337,0.9947776547594716,0.9948385460367625,0.00019344680669881179,6,ensemble model
