mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,model,param_alpha,param_hidden_layer_sizes,param_learning_rate_init
0.8572855949401855,0.312144010701649,0.028998279571533205,0.00474583414635221,3,1.0,2.0,25.0,"{'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 25}",0.9379971038187772,0.9370266023051169,0.9384393800250734,0.9409086780578221,0.9397124782393534,0.9388168484892286,0.0013562705304799793,133,Random Forest,,,
1.633240270614624,0.4855067392170778,0.05570211410522461,0.015161254049068505,3,1.0,2.0,50.0,"{'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.9541199519821065,0.9541041023154553,0.9533335657093209,0.9564448681571637,0.959538319695489,0.9555081615719072,0.002269227584635582,109,Random Forest,,,
3.024171304702759,1.0020589068670605,0.08085956573486328,0.0034130783077878325,3,1.0,2.0,100.0,"{'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9408013918477787,0.9434759856220146,0.9440638850115247,0.940204760428199,0.9434734354920834,0.9424038916803201,0.0015781680025963073,121,Random Forest,,,
0.7586037158966065,0.25215644101296736,0.02437877655029297,0.0009940589709937205,3,1.0,5.0,25.0,"{'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 25}",0.9379971038187772,0.9370266023051169,0.9384393800250734,0.9409086780578221,0.9397124782393534,0.9388168484892286,0.0013562705304799793,133,Random Forest,,,
1.5011155605316162,0.4673905854758607,0.04194388389587402,0.0031178953075623283,3,1.0,5.0,50.0,"{'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",0.9541199519821065,0.9541041023154553,0.9533335657093209,0.9564448681571637,0.959538319695489,0.9555081615719072,0.002269227584635582,109,Random Forest,,,
2.965268278121948,1.0549912620912951,0.07638382911682129,0.0022862781694193168,3,1.0,5.0,100.0,"{'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.9408013918477787,0.9434759856220146,0.9440638850115247,0.940204760428199,0.9434734354920834,0.9424038916803201,0.0015781680025963073,121,Random Forest,,,
0.7731380939483643,0.22997316845641744,0.02406768798828125,0.0026196891942587754,3,1.0,10.0,25.0,"{'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 25}",0.9379971038187772,0.9370266023051169,0.9384393800250734,0.9409086780578221,0.9397124782393534,0.9388168484892286,0.0013562705304799793,133,Random Forest,,,
1.468937063217163,0.46120863911002186,0.043018770217895505,0.0012442619853340244,3,1.0,10.0,50.0,"{'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}",0.9541199519821065,0.9541041023154553,0.9533335657093209,0.9564448681571637,0.959538319695489,0.9555081615719072,0.002269227584635582,109,Random Forest,,,
2.980964517593384,0.9113660719857575,0.07875757217407227,0.0018965479785022154,3,1.0,10.0,100.0,"{'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.9408013918477787,0.9434759856220146,0.9440638850115247,0.940204760428199,0.9434734354920834,0.9424038916803201,0.0015781680025963073,121,Random Forest,,,
0.7803123474121094,0.23916140001836692,0.027967262268066406,0.00499776377920083,3,2.0,2.0,25.0,"{'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 25}",0.9379971038187772,0.9370266023051169,0.9384393800250734,0.9409086780578221,0.9397124782393534,0.9388168484892286,0.0013562705304799793,133,Random Forest,,,
1.5772282123565673,0.49094799276354606,0.044128799438476564,0.0028599939625775397,3,2.0,2.0,50.0,"{'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",0.9541199519821065,0.9541041023154553,0.9533335657093209,0.9564448681571637,0.959538319695489,0.9555081615719072,0.002269227584635582,109,Random Forest,,,
2.933337163925171,1.0523476058112133,0.07188987731933594,0.001325323456968649,3,2.0,2.0,100.0,"{'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.9408013918477787,0.9434759856220146,0.9440638850115247,0.940204760428199,0.9434734354920834,0.9424038916803201,0.0015781680025963073,121,Random Forest,,,
0.7697436809539795,0.2614771064352943,0.023155069351196288,0.0017844318075332084,3,2.0,5.0,25.0,"{'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 25}",0.9379971038187772,0.9370266023051169,0.9384393800250734,0.9409086780578221,0.9397124782393534,0.9388168484892286,0.0013562705304799793,133,Random Forest,,,
1.4713189601898193,0.4552422406026029,0.040520095825195314,0.0013859961205629052,3,2.0,5.0,50.0,"{'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.9541199519821065,0.9541041023154553,0.9533335657093209,0.9564448681571637,0.959538319695489,0.9555081615719072,0.002269227584635582,109,Random Forest,,,
2.8230824947357176,0.9399786631988432,0.07602057456970215,0.006033526482372531,3,2.0,5.0,100.0,"{'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.9408013918477787,0.9434759856220146,0.9440638850115247,0.940204760428199,0.9434734354920834,0.9424038916803201,0.0015781680025963073,121,Random Forest,,,
0.7232529163360596,0.23322269618045705,0.02387080192565918,0.001472205791884051,3,2.0,10.0,25.0,"{'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 25}",0.9379971038187772,0.9370266023051169,0.9384393800250734,0.9409086780578221,0.9397124782393534,0.9388168484892286,0.0013562705304799793,133,Random Forest,,,
1.4966849327087401,0.4844874186240113,0.05224609375,0.011959377300041013,3,2.0,10.0,50.0,"{'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",0.9541199519821065,0.9541041023154553,0.9533335657093209,0.9564448681571637,0.959538319695489,0.9555081615719072,0.002269227584635582,109,Random Forest,,,
2.876413679122925,0.9356220515357928,0.07743568420410156,0.0035815611621378995,3,2.0,10.0,100.0,"{'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.9408013918477787,0.9434759856220146,0.9440638850115247,0.940204760428199,0.9434734354920834,0.9424038916803201,0.0015781680025963073,121,Random Forest,,,
0.7281931877136231,0.23389571834939366,0.021965932846069337,0.001559327831199023,3,4.0,2.0,25.0,"{'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 25}",0.9379971038187772,0.9370266023051169,0.9384393800250734,0.9409086780578221,0.9397124782393534,0.9388168484892286,0.0013562705304799793,133,Random Forest,,,
1.503286647796631,0.45701234538510255,0.045935630798339844,0.006136367982029205,3,4.0,2.0,50.0,"{'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 50}",0.9541199519821065,0.9541041023154553,0.9533335657093209,0.9564448681571637,0.959538319695489,0.9555081615719072,0.002269227584635582,109,Random Forest,,,
2.8359792709350584,0.9579030363129676,0.07488851547241211,0.0033784415383323694,3,4.0,2.0,100.0,"{'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",0.9408013918477787,0.9434759856220146,0.9440638850115247,0.940204760428199,0.9434734354920834,0.9424038916803201,0.0015781680025963073,121,Random Forest,,,
0.7366182804107666,0.2418602557653008,0.023992156982421874,0.001157910806225223,3,4.0,5.0,25.0,"{'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 25}",0.9379971038187772,0.9370266023051169,0.9384393800250734,0.9409086780578221,0.9397124782393534,0.9388168484892286,0.0013562705304799793,133,Random Forest,,,
