mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,model,param_alpha,param_hidden_layer_sizes,param_learning_rate_init
1.2705411434173584,0.028495831995969903,0.0273040771484375,0.0015337720627531368,3,1.0,2.0,25.0,"{'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 25}",0.9356667864288138,0.9375805610097636,0.9341523576977865,0.9361112859334443,0.9344511709536757,0.9355924324046969,0.0012331817154459163,133,Random Forest,,,
3.1297769069671633,0.41989168701921853,0.04840002059936523,0.0039788036662929726,3,1.0,2.0,50.0,"{'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.9510217429619727,0.951779110650789,0.9508744681962963,0.948657528783646,0.9524004773277067,0.9509466655840821,0.0012694510421099824,109,Random Forest,,,
5.863794326782227,0.15123886335384862,0.07758264541625977,0.0010441942424489576,3,1.0,2.0,100.0,"{'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9491915533885876,0.9503946999583782,0.9498483916435245,0.9462110241211249,0.9509438740014665,0.9493179086226163,0.001658514526932899,121,Random Forest,,,
1.4903185844421387,0.08549879645511861,0.029201221466064454,0.004444321728190332,3,1.0,5.0,25.0,"{'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 25}",0.9356667864288138,0.9375805610097636,0.9341523576977865,0.9361112859334443,0.9344511709536757,0.9355924324046969,0.0012331817154459163,133,Random Forest,,,
3.0964961528778074,0.17191979437590296,0.0495262622833252,0.004232671501815233,3,1.0,5.0,50.0,"{'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",0.9510217429619727,0.951779110650789,0.9508744681962963,0.948657528783646,0.9524004773277067,0.9509466655840821,0.0012694510421099824,109,Random Forest,,,
6.09028639793396,0.5457370981678682,0.08540124893188476,0.005427673897538954,3,1.0,5.0,100.0,"{'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.9491915533885876,0.9503946999583782,0.9498483916435245,0.9462110241211249,0.9509438740014665,0.9493179086226163,0.001658514526932899,121,Random Forest,,,
1.6052278518676757,0.3089983531964541,0.027399682998657228,0.0010205292944545077,3,1.0,10.0,25.0,"{'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 25}",0.9356667864288138,0.9375805610097636,0.9341523576977865,0.9361112859334443,0.9344511709536757,0.9355924324046969,0.0012331817154459163,133,Random Forest,,,
3.1018545150756838,0.18782925329965283,0.04900031089782715,0.004051118696379521,3,1.0,10.0,50.0,"{'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}",0.9510217429619727,0.951779110650789,0.9508744681962963,0.948657528783646,0.9524004773277067,0.9509466655840821,0.0012694510421099824,109,Random Forest,,,
5.891204738616944,0.19584697120324554,0.08210215568542481,0.005712573055473547,3,1.0,10.0,100.0,"{'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.9491915533885876,0.9503946999583782,0.9498483916435245,0.9462110241211249,0.9509438740014665,0.9493179086226163,0.001658514526932899,121,Random Forest,,,
1.4774312019348144,0.06399804763322299,0.03000025749206543,0.003949880239908397,3,2.0,2.0,25.0,"{'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 25}",0.9356667864288138,0.9375805610097636,0.9341523576977865,0.9361112859334443,0.9344511709536757,0.9355924324046969,0.0012331817154459163,133,Random Forest,,,
3.065752935409546,0.07987292749219187,0.048602294921875,0.005462857141109134,3,2.0,2.0,50.0,"{'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",0.9510217429619727,0.951779110650789,0.9508744681962963,0.948657528783646,0.9524004773277067,0.9509466655840821,0.0012694510421099824,109,Random Forest,,,
6.021076011657715,0.42616304976673136,0.08809075355529786,0.014843306692259597,3,2.0,2.0,100.0,"{'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.9491915533885876,0.9503946999583782,0.9498483916435245,0.9462110241211249,0.9509438740014665,0.9493179086226163,0.001658514526932899,121,Random Forest,,,
